Museum Name ,Museum Group,Coverage,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,
Royal Armouries White Tower,Royal Armouries,Museum site,98101,110566,171476,192150,159759,247361,201897,213549,180138,162408,116022,121056,102341,101005,68277,0,0,0,11952,30318,32433,18089,13877,3617,0,0,0,0,14278,47578,51794,101757,52627,75250,47596,46696,25211,63551,80700,147870,104086,199923,176983,178643,134217,144256,98296,119333,83138,105586,145065,205964,149757,220118,190468,186554,153118,147645,102358,126112,78727,112763,184340,167793,159338,228045,187315,190663,159957,144898,114709,130136,90312,96932,156919,171495,154087,230877,205661,200029,177385,
Sir John Soane's Museum ,Sir John Soane's Museum,Museum group,9109,10643,12370,11002,9994,9994,9784,9868,8013,11353,11682,9690,9561,12711,4363,0,0,0,0,0,0,1152,95,843,0,0,0,0,1507,2861,3225,4826,4372,6279,5796,4340,4475,6579,6663,9414,10905,11190,11710,11394,11031,12389,11233,10411,8407,12581,13120,14652,12474,11385,12868,13722,12587,13582,13581,13240,10162,13927,15758,14189,16443,13447,14496,16572,13301,13657,13061,10921,11283,12674,13464,12907,14389,11782,13342,14398,12276,
Tate Total,Tate,Museum group,602503,694584,756813,784493,719994,704603,897924,913669,695524,835957,686469,553213,584735,608229,279018,0,0,0,25485,176440,139302,163890,23579,62305,0,0,0,0,131340,202595,252591,363639,301280,367863,305380,226465,256489,312049,349715,411267,413778,449368,533526,633859,448582,629031,515740,436816,458682,538914,522948,604329,552362,521922,652709,678648,467775,558905,457613,398013,444606,490262,530287,560214,586778,496674,575425,635483,452193,544299,403266,378473,387561,452338,451588,467667,524071,453608,562701,573451,458249,
Tate Britain,Tate,Museum site,107878,170352,163916,224037,182813,161564,184697,163401,111366,140026,122798,75789,108449,86573,60032,0,0,0,6247,40786,28265,26412,5576,19799,0,0,0,0,32943,46106,62621,79275,99360,88450,65952,50437,61231,66275,75828,56910,84267,79840,82897,90032,105850,88507,61924,59834,81338,78751,65042,109135,97040,88909,100205,104121,91780,92883,101801,80213,95424,100717,117325,120496,116018,119780,103950,95121,87564,101456,84806,84215,97319,104015,82483,85192,74193,67350,86933,93738,75014,
Tate Modern,Tate,Museum site,444650,457674,524184,482407,464646,456004,603515,624672,496690,604257,502589,437052,427240,457224,187828,0,0,0,14540,103201,82159,114607,15757,30450,0,0,0,0,81405,121849,143947,209276,149053,223748,204295,151538,166133,206925,239233,307566,284831,317529,380654,460255,288785,478196,410164,342889,341603,406972,408465,436605,397215,373657,478136,490970,316086,428986,349212,313823,344230,380720,401272,417979,446205,352396,437794,494194,329218,414709,301372,282936,280118,327742,348227,352124,420570,353678,425874,428158,343391,
Tate Liverpool,Tate,Museum site,39577,53204,49790,49898,46899,58661,74443,84662,56137,65679,48899,32173,41109,48619,20839,0,0,0,1858,15076,12276,8996,972,8947,0,0,0,0,7745,17004,23707,49542,31944,37466,25499,18246,22030,27249,24969,30313,29362,35389,43034,53552,31350,44567,35307,28096,29747,43144,36730,38855,42258,39521,48566,57219,40794,22070,0,0,0,0,0,0,0,0,849,12063,7440,8601,6370,4347,2060,7357,6762,8676,7337,9638,11781,13121,7638,
Tate St Ives,Tate,Museum site,10398,13354,18923,28151,25636,28374,35269,40934,31331,25995,12183,8199,7937,15813,10319,0,0,0,2840,17377,16602,13875,1274,3109,0,0,0,0,9247,17636,22316,25546,20923,18199,9634,6244,7095,11600,9685,16478,15318,16610,26941,30020,22597,17761,8345,5997,5994,10047,12711,19734,15849,19835,25802,26338,19115,14966,6600,3977,4952,8825,11690,21739,24555,24498,32832,34105,27971,19533,10718,6975,8064,13224,14116,21675,21971,22942,38113,38434,32206,
V&A Total,V&A,Museum group,274967,370841,411681,367784,341428,438520,364887,406810,398317,330966,281921,314672,278788,344449,211726,0,0,0,0,12982,41078,53845,5103,16764,0,0,0,0,30832,86799,111688,138066,129088,143709,119149,98411,87429,125349,124973,266299,217569,197059,225037,233173,201366,275870,209669,194603,197482,231853,242159,302726,230598,228426,363755,375061,306323,367747,335935,312546,343370,384486,362823,307900,323100,306900,385800,459700,314700,319500,299500,314000,303100,320200,301700,326300,331900,355000,420900,446300,379400,
V&A South Kensington,V&A,Museum site,240602,324501,373562,329079,319635,408617,341707,373565,373434,296193,252582,284984,245762,303488,193859,0,0,0,0,12982,41078,53845,5103,16764,0,0,0,0,30832,86799,111688,138066,129088,143709,119149,98411,87429,125349,124973,266299,217569,197059,225037,233173,201366,275870,209669,194603,197482,231853,242159,302726,230598,228058,276446,289278,270234,283924,275184,261576,281808,315037,308551,253000,273600,271100,335700,402300,279200,269100,258300,278000,253300,249700,260400,279200,285300,260900,299100,305500,279100,
Young V&A,V&A,Museum site,33991,45809,37349,38330,21369,29277,22805,33047,24362,34168,28793,29307,32702,40438,17569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,87309,85783,36089,83823,60751,50970,61562,69449,54272,54900,49500,35800,50100,57400,35500,50400,41200,36000,49800,70500,41300,47100,42100,34000,56200,74100,41400,
V&A Blythe House,V&A,Museum site,374,531,770,375,424,626,375,198,521,605,546,381,324,523,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
V&A Storehouse,V&A,Museum site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,60100,65600,66700,58900,
Wallace Collection,Wallace Collection,Museum group,36089,33360,40444,35416,37460,45679,47053,46230,36891,42400,37228,40145,48838,49989,19688,0,0,0,2422,6511,5666,7104,1254,2640,0,0,0,0,0,9855,11670,15230,9905,20427,19957,13665,19933,19523,20239,27750,29237,23886,23213,25389,25412,30907,23117,23318,23898,25430,32016,47686,38871,32192,43975,39002,41649,47652,31501,26510,31521,35137,39440,43065,47529,46149,48701,48990,43295,51068,38973,36496,35196,40956,46068,56303,57731,51242,55081,52319,49763,
